YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M,WD50M,T2MWET,T2M,QV2M,RH2M,PRECTOTCORR
2017,1,1,0,95.17,2.31,71.44,4.28,74.34,13.72,16.32,8.67,71.19,0
2017,1,1,1,95.11,2.16,66.77,4.08,70.66,13.62,15.79,8.91,75.31,0
2017,1,1,2,95.09,1.91,67.85,3.59,72.51,13.63,15.51,9.09,78.25,0
2017,1,1,3,95.11,1.77,70.45,3.21,74.78,13.61,15.22,9.22,81.25,0
2017,1,1,4,95.18,1.82,69.93,3.19,73.07,13.64,14.88,9.52,85.31,0
2017,1,1,5,95.26,1.88,67.8,3.28,70.1,13.81,14.69,9.83,89.44,0
2017,1,1,6,95.34,1.88,65.99,3.27,67.41,14.51,15.41,10.25,89.12,0
2017,1,1,7,95.43,2.79,71.57,3.42,74.88,16.52,18.64,10.8,76.44,0
2017,1,1,8,95.49,3.79,83.12,4.5,84.63,18.28,22.29,10.68,60.44,0
2017,1,1,9,95.47,4.16,80.59,4.86,80.93,19.03,25.22,9.7,46.12,0
2017,1,1,10,95.38,4.19,76.51,4.85,76.5,19.38,27.47,8.79,36.5,0
2017,1,1,11,95.25,4.02,74.34,4.65,74.4,19.48,29.21,7.93,29.69,0
2017,1,1,12,95.12,3.71,73.47,4.25,73.46,19.41,30.44,7.26,25.31,0
2017,1,1,13,94.99,3.37,72.74,3.86,72.59,19.26,31.12,6.77,22.75,0
2017,1,1,14,94.91,3.11,72.43,3.56,71.96,18.96,31.18,6.47,21.69,0
2017,1,1,15,94.89,2.9,70.98,3.35,70.51,18.46,30.58,6.29,21.75,0
2017,1,1,16,94.92,2.35,70.6,3.22,71.3,18.19,29.05,6.77,25.62,0
2017,1,1,17,94.99,1.78,77.85,3.02,76.83,18.05,24.66,8.91,43.69,0
2017,1,1,18,95.08,1.82,82.6,2.88,81.58,16.97,22.98,8.61,46.62,0
2017,1,1,19,95.18,1.75,84.62,2.75,84.29,16.58,22.14,8.67,49.44,0
2017,1,1,20,95.24,1.69,84.16,2.64,84.22,16.31,21.31,8.85,53.06,0
2017,1,1,21,95.26,1.77,84.16,2.8,84.4,16.05,20.33,9.09,58.06,0
2017,1,1,22,95.25,1.97,87.73,3.31,88.38,15.84,19.33,9.46,64.12,0
2017,1,1,23,95.23,2.24,92.8,4.13,93.68,15.81,18.58,9.89,70.19,0
2017,1,2,0,95.2,2.43,95.73,4.77,96.78,15.89,17.95,10.38,76.75,0
2017,1,2,1,95.16,2.44,94.22,4.92,94.55,15.98,17.33,10.93,84,0
2017,1,2,2,95.14,2.16,88.97,4.63,89.42,16.31,17.23,11.54,88.94,0
2017,1,2,3,95.16,1.96,81.97,4.22,82.98,16.57,17.05,12.02,94.06,0
2017,1,2,4,95.21,1.78,75.78,3.72,77.13,16.78,16.96,12.45,97.81,0
2017,1,2,5,95.28,1.74,70.59,3.57,72.56,16.91,16.88,12.7,100,0
2017,1,2,6,95.36,1.95,66.41,3.31,67.37,17.32,17.55,12.82,97.12,0
2017,1,2,7,95.45,2.92,71.61,3.56,73.67,18.61,20.22,12.7,81.69,0
